categoria_id,grupo,id,nombre,tipo,descripcion,imagen,visible,disponible,frutal,cremoso,vegano,sin_azucar,premium,ingredientes,alergenos,nutri_porcion,nutri_kcal,nutri_grasa,nutri_grasasat,nutri_hc,nutri_azucares,nutri_proteina,nutri_sal
paletas,Sabores frutales,mango-maracuya,Mango Maracuyá,Paleta frutal,Sabor tropical intenso con el dulce del mango y la acidez del maracuyá. Refrescante y frutal.,img/paleta-frutos-bosque.jpg,true,true,true,false,false,false,false,"Pulpa de mango, pulpa de maracuyá, azúcar, agua.",Sin alérgenos. Apto vegano.,100 g,92,0.2,0.1,22,20,0.4,0.02
paletas,Sabores frutales,frambuesa-huerto,Frambuesa del huerto,Paleta frutal,Frambuesa fresca con notas ácidas y un dulzor natural. Intenso y vibrante.,img/paleta-frutos-bosque.jpg,true,true,true,false,false,false,false,"Pulpa de frambuesa, azúcar, agua, zumo de limón.",Sin alérgenos. Apto vegano.,100 g,88,0.3,0.1,21,19,0.5,0.02
paletas,Sabores frutales,frutilla-natural,Frutilla natural,Paleta frutal,"Clásica frutilla artesanal, dulce y fresca, con el sabor característico de la fruta de temporada.",img/paletas-variedad.jpg,true,true,true,false,false,false,false,"Puré de frutilla, azúcar, agua.",Sin alérgenos. Apto vegano.,100 g,85,0.2,0.1,20,18,0.4,0.02
paletas,Sabores frutales,limon-menta-jengibre,Limón Menta Jengibre,Paleta frutal,"Combinación refrescante de limón ácido, menta fresca y el toque picante del jengibre.",,true,true,true,false,false,false,false,"Zumo de limón, menta fresca, jengibre, azúcar, agua.",Sin alérgenos. Apto vegano.,100 g,80,0.1,0.0,19,17,0.2,0.02
paletas,Sabores frutales,pina-caramelo,Piña Caramelo,Paleta frutal,La acidez de la piña tropical equilibrada con notas acarameladas. Dulce y sorprendente.,,true,true,true,false,false,false,false,"Pulpa de piña, azúcar caramelizada, agua.",Sin alérgenos. Apto vegano.,100 g,98,0.2,0.1,24,22,0.3,0.03
paletas,Sabores frutales,pina-albahaca,Piña Albahaca,Paleta frutal,Piña refrescante con el aroma herbal de la albahaca fresca. Una combinación inesperada y elegante.,,true,true,true,false,false,false,false,"Pulpa de piña, albahaca fresca, azúcar, agua.",Sin alérgenos. Apto vegano.,100 g,90,0.2,0.1,21,19,0.3,0.02
paletas,Sabores frutales,frutos-bosque,Frutos del bosque,Paleta frutal,"Mezcla de berries silvestres con un sabor profundo, ácido y ligeramente dulce.",img/paleta-frutos-bosque.jpg,true,true,true,false,false,false,false,"Frambuesa, mora, arándano, azúcar, agua.",Sin alérgenos. Apto vegano.,100 g,90,0.3,0.1,21,19,0.5,0.02
paletas,Sabores crema,chocolate-nutella,Chocolate Nutella,Paleta crema,Intenso chocolate con avellanas y el inconfundible sabor de la Nutella. Cremoso y goloso.,img/chocolate-nutella.jpg,true,true,false,true,false,false,false,"Leche, crema, cacao, Nutella (avellanas, azúcar, cacao, leche), azúcar.","Contiene leche, avellanas. Puede contener trazas de gluten.",100 g,195,10.0,5.5,24,22,3.0,0.12
paletas,Sabores crema,manjar-nuez,Manjar Nuez,Paleta crema,El dulzor profundo del manjar artesanal con el crocante y tostado de las nueces.,,true,true,false,true,false,false,false,"Leche condensada, crema, nueces, azúcar.","Contiene leche, nueces (frutos secos).",100 g,205,11.0,5.8,25,23,3.2,0.1
paletas,Sabores crema,pistacho,Pistacho,Paleta crema,Cremoso y suave con el sabor tostado y ligeramente salado del pistacho auténtico.,,true,true,false,true,false,false,false,"Leche, crema, pasta de pistacho, azúcar.","Contiene leche, pistacho (frutos secos).",100 g,200,10.5,5.2,23,20,3.5,0.13
paletas,Sabores crema,cookies-cream,Cookies & Cream,Paleta crema,Cremoso helado de vainilla con trozos de galleta de chocolate. Dulce y crocante.,,true,true,false,true,false,false,false,"Leche, crema, azúcar, galleta de chocolate (trigo, cacao), vainilla.","Contiene leche, gluten (trigo).",100 g,210,10.0,5.5,27,22,2.8,0.18
paletas,Sabores crema,vainilla,Vainilla,Paleta crema,Clásica y cremosa vainilla artesanal con aroma natural. El sabor de siempre.,,true,true,false,true,false,false,false,"Leche, crema, azúcar, vainilla natural.",Contiene leche.,100 g,175,8.5,5.0,22,20,2.8,0.1
paletas,Sabores crema,bombon-frambuesa,Bombón Frambuesa,Paleta crema,"Crema suave con corazón de frambuesa ácida, cubierto en chocolate. Sorpresa en cada mordida.",img/helado-frambuesa.jpg,true,true,false,true,false,false,false,"Leche, crema, pulpa de frambuesa, chocolate (cacao, azúcar, manteca de cacao), azúcar.",Contiene leche. Puede contener trazas de frutos secos.,100 g,215,11.0,6.5,26,24,2.5,0.09
